"adult","backdrop_path","genre_ids","id","original_language","original_title","overview","popularity","poster_path","release_date","title","video","vote_average","vote_count"
"False","/qBwWtE0T5jwXeWLDeg5d0cEpL5H.jpg","[18]","76025","en","Shame","Brandon, a thirty-something man living in New York, eludes intimacy with women but feeds his deepest desires with a compulsive addiction to sex. When his younger sister temporarily moves into his apartment, stirring up bitter memories of their shared painful past, Brandon's life, like his fragile mind, gets out of control.","20.196","/cAWLz9kFv4xc6IsEXTj2DrcqD55.jpg","2011-10-02","Shame","False","7","2595"
"False","/oTclC89GNdGQ25XjowvMlCpLyMi.jpg","[18, 16, 10752, 99]","8885","he","Vals Im Bashir","An Israeli film director interviews fellow veterans of the 1982 invasion of Lebanon to reconstruct his own memories of his term of service in that conflict.","5.603","/zQaCv7lKwHsh0YSHkt1QNjIOZ1c.jpg","2008-06-12","Waltz with Bashir","False","7.7","774"
"False","/dH7ia3vtkYCa3CBvDnvVjqm9uiQ.jpg","[28, 9648, 878]","13183","en","Watchmen","In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered, an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so uncover a sinister plot that puts all of humanity in grave danger.","32.668","/aZvOkdo203bm1kpcY0A0Tn074ER.jpg","2009-03-04","Watchmen","False","7.3","7618"
"False","/tWcZTx3yyFuHruBf4p0w7lDGc7i.jpg","[99]","97690","en","We Are Legion: The Story of the Hacktivists","Takes us inside the world of Anonymous, the radical ""hacktivist"" collective that has redefined civil disobedience for the digital age. The film explores early hacktivist groups like Cult of the Dead Cow and Electronic Disturbance Theater, then moves to Anonymous' raucous beginnings on the website 4chan.  Through interviews with current members, people recently returned from prison or facing trial, writers, academics, activists and major players in various ""raids,"" the documentary traces Anonymous’ evolution from merry pranksters to a full-blown movement with a global reach, the most transformative civil disobedience of our time.","9.152","/ji1fJ4NIoDrNUkBJ4JQP8lD3I9x.jpg","2012-01-20","We Are Legion: The Story of the Hacktivists","False","7.2","270"
"False","/k7lwdrpZ92BDahx6TLdkPE65cpJ.jpg","[18, 53]","71859","en","We Need to Talk About Kevin","After her son Kevin commits a horrific act, troubled mother Eva reflects on her complicated relationship with her disturbed son as he grew from a toddler into a teenager.","15.66","/auAmiRmbBQ5QIYGpWgcGBoBQY3b.jpg","2011-09-28","We Need to Talk About Kevin","False","7.6","2246"
"False","","[99]","734593","bn","Where is the Friend's Home","Two children play in the rain as the director watch from above in this tribute to Iranian maestro Abbas Kiarostami. The window blinds masterfully appear like the insides of one’s eyelids. Mahde's discontent with the colour his digital camera produces led him to shoot this in black and white like many of his other works. The film won the first prize in the Movie of My Life section at the 70th Locarno Film Festival.","0.6","/nIcAuV44LLYe3E4zpcMsqoDpF6h.jpg","2017-08-02","Where is the Friend's Home","False","0","0"
"False","/fRGxZuo7jJUWQsVg9PREb98Aclp.jpg","[18, 10402]","244786","en","Whiplash","Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.","43.601","/6uSPcdGNA2A6vJmCagXkvnutegs.jpg","2014-10-10","Whiplash","False","8.4","12170"
"False","/du0zunHPR3uAT2hTyqPKL1jIbtH.jpg","[18]","39013","en","Winter's Bone","17 year-old Ree Dolly sets out to track down her father, who put their house up for his bail bond and then disappeared. If she fails, Ree and her family will be turned out into the Ozark woods. Challenging her outlaw kin's code of silence and risking her life, Ree hacks through the lies, evasions and threats offered up by her relatives and begins to piece together the truth.","10.642","/a0qhPkNlxLfsf5B2jFyI1Pp04XV.jpg","2010-06-11","Winter's Bone","False","6.8","1406"
"False","/yzpCv8CCWondN7O5au1KGiqnC3A.jpg","[28, 12, 14]","464052","en","Wonder Woman 1984","A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.","164.338","/8UlWHLMpgZm9bx6QYh0NFoq67TZ.jpg","2020-12-16","Wonder Woman 1984","False","6.6","6768"
"False","/jEYnD85A0eelPKLRNDkpdM4ixhI.jpg","[18]","11148","es","XXY","Alex, an intersexed 15-year-old, is living as a girl, but she and her family begin to wonder whether she's emotionally a boy when another teenager's sexual advances bring the issue to a head. As Alex faces a final decision regarding her gender, she meets both hostility and compassion.","9.379","/4sgoignnXhqjxepHBi2inLFLhSz.jpg","2007-06-14","XXY","False","6.8","232"
"False","/zd7mu6dJKxkVtBdXqlEQ9W3msKl.jpg","[18, 53]","11878","ja","用心棒","A nameless ronin, or samurai with no master, enters a small village in feudal Japan where two rival businessmen are struggling for control of the local gambling trade. Taking the name Sanjuro Kuwabatake, the ronin convinces both silk merchant Tazaemon and sake merchant Tokuemon to hire him as a personal bodyguard, then artfully sets in motion a full-scale gang war between the two ambitious and unscrupulous men.","11.683","/tN7kYPjRhDolpui9sc9Eq9n5b2O.jpg","1961-04-25","Yojimbo","False","8.2","1046"
"False","/sTp8K0SfcC2RQef1Tu160z3niHO.jpg","[18, 35, 10752]","935","en","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike.","24.812","/3clod4q8qkgU7pyOmZ7Re0G7GDc.jpg","1964-01-29","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","False","8.1","4482"
"False","/78F8cn6EXum1zpukF3HTNI8W0EA.jpg","[16, 18, 35]","13398","ja","東京ゴッドファーザーズ","During a Christmas Eve in Tokyo, three homeless people, middle-aged alcoholic Gin, former drag queen Hana, and dependent runaway girl Miyuki, discover an abandoned newborn while looking through the garbage. With only a handful of clues to the baby's identity, the three misfits search the city to find its parents.","9.268","/ukhvxpVcBsb1MpRRwiqEIwyKdUX.jpg","2003-12-29","Tokyo Godfathers","False","7.9","820"
"False","/pe2APM7NsJXfNRfq2cUWdc0dRbQ.jpg","[35, 18, 10752]","789","cs","Ostře sledované vlaky","At a village railway station in occupied Czechoslovakia, a bumbling dispatcher’s apprentice longs to liberate himself from his virginity. Oblivious to the war and the resistance that surrounds him, this young man embarks on a journey of sexual awakening and self-discovery, encountering a universe of frustration, eroticism, and adventure within his sleepy backwater depot.","7.836","/hW4wTvePR6mz3mg8ooCtHuZOUSj.jpg","1966-11-18","Closely Watched Trains","False","7.4","165"
"adult","backdrop_path","genre_ids","id","original_language","original_title","overview","popularity","poster_path","release_date","title","video","vote_average","vote_count"
"False","/icvgQHxrKEDx92VQ5WHiEmEAUKH.jpg","[53, 27, 878]","11336","en","The Dead Zone","Johnny Smith is a schoolteacher with his whole life ahead of him but, after leaving his fiancee's home one night, is involved in a car crash which leaves him in a coma for 5 years. When he wakes, he discovers he has an ability to see into the past, present and future life of anyone with whom he comes into physical contact.","9.561","/9yTVaeS8eIkOpbwIycVFm7EQrgF.jpg","1983-10-21","The Dead Zone","False","7","1195"
"adult","backdrop_path","genre_ids","id","original_language","original_title","overview","popularity","poster_path","release_date","title","video","vote_average","vote_count"
"False","/icvgQHxrKEDx92VQ5WHiEmEAUKH.jpg","[53, 27, 878]","11336","en","The Dead Zone","Johnny Smith is a schoolteacher with his whole life ahead of him but, after leaving his fiancee's home one night, is involved in a car crash which leaves him in a coma for 5 years. When he wakes, he discovers he has an ability to see into the past, present and future life of anyone with whom he comes into physical contact.","9.561","/9yTVaeS8eIkOpbwIycVFm7EQrgF.jpg","1983-10-21","The Dead Zone","False","7","1195"
"False","/jj9uuzvv3mtpJZTwlZX5HnMkhl5.jpg","[80, 18, 10749]","23954","en","Atlantic City","In a corrupt city, a small-time gangster and the estranged wife of a pot dealer find themselves thrown together in an escapade of love, money, drugs and danger.","7.729","/emZLwACcXh4FHAWWkpYb9lsC0Q2.jpg","1980-09-03","Atlantic City","False","6.9","183"
"False","/iQFcwSGbZXMkeyKrxbPnwnRo5fl.jpg","[28, 12, 878]","634649","en","Spider-Man: No Way Home","Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.","2676.693","/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg","2021-12-15","Spider-Man: No Way Home","False","8.1","12901"
"False","/aycVJuqlxHSNfxHfTftuklLpjUC.jpg","[18, 35]","437586","en","mid90s","Stevie is a sweet 13-year-old about to explode. His mom is loving and attentive, but a little too forthcoming about her romantic life. His big brother is a taciturn and violent bully. So Stevie searches his working-class Los Angeles suburb for somewhere to belong. He finds it at the Motor Avenue skate shop.","11.131","/9Tw0Y3DK5kGIU9X1yw3Q9gCkOlb.jpg","2018-10-19","mid90s","False","7.5","1170"
